ID,rec
3,0
7,0
9,0
10,1
11,0
19,0
21,0
23,0
29,0
30,0
32,1
34,0
37,0
38,0
41,1
42,0
43,1
44,1
51,0
54,0
56,1
57,1
59,0
61,0
63,0
65,0
67,0
68,0
71,0
73,0
74,1
77,0
78,1
80,0
83,0
85,0
86,0
87,0
92,0
95,0
99,0
100,0
101,0
103,0
106,0
109,0
110,0
112,1
113,0
118,0
121,0
132,1
133,0
138,0
140,0
142,0
143,0
147,0
148,0
150,0
152,1
154,0
155,0
158,0
159,0
163,0
168,0
170,0
172,0
179,0
181,0
182,0
188,0
191,0
192,0
195,1
199,0
200,0
204,1
206,0
207,0
208,0
214,0
217,0
220,0
222,0
225,0
227,1
228,1
232,0
233,0
240,1
243,0
246,0
248,0
249,0
252,1
255,0
258,0
262,0
263,0
269,0
271,0
272,0
280,0
285,0
290,0
294,0
299,0
302,0
307,0
312,0
315,1
316,0
317,1
318,1
320,0
321,0
322,0
323,0
325,0
326,1
327,0
330,0
335,0
347,0
348,0
349,1
352,0
360,0
362,0
374,0
376,0
379,0
380,0
382,1
384,0
386,0
387,0
390,0
391,0
393,0
397,1
406,0
407,0
409,0
410,0
414,0
415,0
417,0
424,0
426,0
428,0
429,0
430,0
433,0
438,0
440,1
443,0
448,0
450,0
456,0
460,0
464,0
465,0
466,0
468,0
469,0
470,0
472,0
474,1
476,0
482,0
485,0
487,0
490,1
492,0
497,0
498,1
499,0
503,0
505,0
506,0
510,0
511,0
515,0
518,0
520,0
521,1
530,0
531,1
536,0
537,0
541,0
544,0
545,0
546,1
548,0
554,0
559,0
562,0
569,0
571,0
572,0
576,0
579,0
583,0
585,0
587,1
588,0
589,0
592,1
593,0
595,0
596,0
598,0
599,1
601,0
604,0
607,0
609,0
610,0
611,0
618,0
622,0
623,1
627,0
629,0
634,0
636,0
639,0
641,0
643,0
644,0
645,0
656,1
662,0
666,1
667,0
670,0
671,0
674,1
676,0
677,0
680,0
681,0
684,0
686,0
687,0
689,0
690,0
691,0
692,0
695,0
696,0
702,0
703,0
705,0
707,0
711,0
714,0
715,0
716,0
718,1
723,0
732,0
734,0
737,0
743,0
748,0
750,0
757,1
759,0
765,0
767,0
770,0
773,1
777,0
779,0
782,0
786,0
787,0
790,1
794,1
798,0
800,0
801,1
802,0
803,0
804,0
807,0
808,1
811,0
819,0
823,0
824,0
826,0
828,0
835,0
841,0
844,1
849,0
860,0
864,0
865,0
867,0
872,0
877,0
879,0
881,0
886,1
893,1
896,0
897,1
900,0
901,1
906,0
907,0
912,0
913,0
920,0
921,1
925,0
928,1
930,0
936,0
941,0
945,0
946,0
952,0
953,1
958,0
960,0
964,0
967,0
968,0
974,1
975,0
976,1
980,0
981,0
985,0
989,1
991,0
995,0
1000,0
1003,0
1004,1
1008,0
1014,0
1016,1
1021,0
1024,0
1027,0
1032,0
1034,0
1035,0
1036,1
1039,0
1041,0
1050,0
1052,1
1056,0
1057,0
1061,1
1062,1
1064,0
1069,0
1072,0
1073,1
1075,0
1080,0
1081,0
1086,0
1089,0
1090,0
1093,0
1096,0
1100,0
1104,0
1113,0
1116,1
1118,0
1120,0
1122,0
1123,1
1124,0
1126,0
1129,0
1131,0
1134,0
1139,0
1140,0
1142,0
1149,0
1151,0
1152,0
1153,1
1156,0
1159,0
1162,0
1171,0
1172,0
1175,0
1177,0
1182,0
1183,0
1185,0
1187,0
1188,0
1189,0
1190,0
1193,0
1198,0
1200,0
1203,0
1214,0
1218,0
1219,0
1220,0
1222,1
1224,1
1231,0
1236,1
1238,0
1243,0
1245,1
1246,1
1247,0
1250,0
1251,0
1252,0
1254,0
1256,0
1259,0
1262,0
1263,0
1265,1
1268,0
1270,0
1272,0
1273,0
1276,0
1279,0
1280,0
1283,0
1285,0
1288,0
1297,0
1299,0
1302,0
1313,1
1315,0
1317,0
1326,0
1327,1
1330,0
1335,0
1338,1
1341,0
1343,1
1346,0
1347,0
1355,0
1356,0
1363,0
1364,0
1365,0
1366,0
1368,0
1374,0
1375,0
1378,0
1379,0
1380,0
1382,0
1383,1
1385,0
1388,0
1389,0
1390,0
1393,0
1407,1
1409,0
1410,1
1414,1
1417,0
1419,0
1422,0
1423,0
1424,0
1426,0
1427,0
1430,1
1431,0
1438,0
1440,0
1453,0
1455,0
1457,0
1460,0
1464,1
1466,0
1471,0
1478,0
1479,0
1480,0
1481,0
1485,0
1486,0
1492,0
1494,1
1495,0
1498,0
1501,0
1513,0
1521,1
1523,1
1524,0
1530,0
1534,0
1536,0
1539,1
1544,0
1545,0
1550,1
1551,0
1561,1
1564,0
1573,0
1575,0
1576,0
1580,0
1582,0
1583,1
1590,0
1591,0
1595,0
1610,1
1611,0
1612,0
1613,0
1620,0
1621,0
1623,0
1625,0
1626,0
1628,1
1634,0
1638,0
1639,0
1641,0
1644,0
1645,1
1646,1
1649,0
1653,0
1654,0
1657,1
1660,0
1662,0
1664,0
1666,0
1669,1
1672,0
1673,0
1677,0
1682,0
1683,0
1684,0
1688,0
1690,0
1691,0
1692,0
1694,0
1699,0
1703,0
1709,0
1712,0
1713,0
1714,0
1716,0
1718,0
1719,0
1720,0
1728,0
1731,0
1732,0
1733,0
1739,0
1740,1
1742,0
1743,1
1744,0
1745,0
1746,1
1753,0
1755,0
1759,0
1765,0
1768,0
1770,0
1773,0
1779,1
1784,0
1785,0
1786,1
1789,0
1792,0
1794,0
1799,1
1800,0
1802,0
1803,1
1804,0
1806,0
1808,0
1812,0
1814,0
1817,0
1820,0
1821,0
1829,0
1831,1
1840,0
1841,1
1842,0
1852,0
1859,0
1861,0
1862,0
1867,1
1868,1
1875,0
1876,0
1880,0
1881,0
1884,1
1886,0
1893,0
1897,0
1902,0
1904,0
1909,0
1916,0
1917,0
1923,0
1924,0
1926,0
1927,0
1929,0
1930,0
1938,0
1945,0
1948,0
1956,0
1960,1
1961,1
1963,0
1966,0
1972,0
1974,1
1976,0
1978,1
1983,0
1988,0
1989,0
1992,0
1998,1
2000,0
2003,0
2004,0
2007,0
2009,0
2010,0
2016,0
2019,0
2022,0
2027,0
2028,0
2030,0
2035,0
2038,0
2039,0
2042,0
2047,0
2051,0
2052,0
2053,0
2058,0
2059,0
2063,1
2074,0
2077,0
2080,1
2081,0
2090,0
2092,0
2095,1
2097,0
2100,1
2102,0
2104,0
2106,0
2109,0
2110,0
2114,0
2115,0
2116,0
2118,0
2123,0
2125,0
2129,0
2131,1
2132,0
2136,0
2138,0
2141,0
2144,0
2146,0
2151,0
2154,0
2155,0
2160,0
2161,0
2163,0
2164,0
2166,0
2175,1
2192,0
2194,1
2196,0
2197,0
2202,0
2204,0
2210,0
2211,0
2213,1
2214,0
2215,0
2218,1
2220,0
2228,0
2229,0
2230,0
2231,0
2233,0
2235,0
2241,0
2243,0
2245,0
2246,1
2248,0
2250,1
2254,0
2255,0
2260,0
2261,1
2263,0
2275,0
2277,0
2279,0
2280,0
2283,0
2284,0
2288,0
2293,0
2294,0
2295,0
2296,0
2306,1
2307,0
2310,0
2311,0
2317,0
2321,0
2325,1
2326,1
2327,0
2329,0
2333,0
2336,0
2337,1
2341,0
2342,1
2343,0
2344,0
2345,0
2347,0
2352,0
2360,0
2363,0
2367,0
2374,0
2377,1
2379,0
2383,0
2384,0
2385,0
2386,0
2397,0
2398,0
2401,0
2404,0
2409,0
2412,0
2414,0
2419,0
2421,0
2425,0
2426,1
2427,0
2435,0
2438,0
2439,0
2443,0
2444,0
2446,0
2466,0
2468,0
2471,0
2475,1
2476,0
2477,0
2482,0
2485,1
2490,0
2492,0
2493,0
2496,0
2497,0
2504,1
2505,0
2507,0
2511,0
2512,0
2515,0
2518,0
2521,0
2527,0
2532,1
2537,0
2538,0
2539,1
2544,1
2550,0
2551,0
2552,0
2553,0
2555,0
2557,1
2558,0
2560,0
2561,0
2567,0
2572,0
2579,0
2583,1
2585,0
2586,0
2587,0
2593,0
2599,0
2602,0
2606,0
2611,0
2613,0
2614,0
2615,1
2616,0
2622,0
2626,0
2627,0
2629,0
2631,0
2633,0
2635,0
2636,1
2638,0
2639,0
2640,1
2649,0
2650,1
2651,0
2658,0
2664,0
2670,0
2672,0
2674,1
2675,0
2678,1
2680,0
2683,0
2687,0
2689,0
2692,0
2693,0
2695,0
2697,0
2699,0
2703,0
2709,1
2717,0
2718,0
2719,1
2720,0
2722,0
2724,0
2725,0
2732,0
2733,0
2735,0
2736,0
2737,0
2742,1
2744,0
2749,0
2750,0
2752,1
2754,0
2755,0
2757,0
2759,0
2762,0
2765,0
2768,1
2770,1
2771,0
2777,0
2781,0
2782,0
2785,0
2786,0
2790,0
2791,0
2797,0
2800,0
2801,0
2802,0
2803,0
2804,0
2807,0
2808,0
2816,0
2818,0
2820,0
2824,0
2827,0
2834,0
2837,0
2838,1
2839,0
2846,1
2850,0
2853,0
2855,1
2861,1
2862,1
2864,0
2867,0
2871,1
2880,0
2885,0
2888,0
2893,1
2901,0
2914,0
2918,0
2920,0
2924,1
2926,0
2930,0
2934,0
2936,0
2943,0
2945,0
